username,password,firstname,lastname,address1,address2
swastikp98,sipusipu98,Adil,Kumar,Unit-6,Chennai
swastikp111,sipusipu111,Mamoon,Shaik,Unit-10,Mumbai
swastikp121,sipusipu121,Mamoon,Shaik,Unit-10,Mumbai
swastikp122,sipusipu122,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp123,sipusipu123,Shravan,Adhikary,Unit-8,New Delhi
swastikp124,sipusipu124,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp131,sipusipu131,Mamoon,Shaik,Unit-10,Mumbai
swastikp132,sipusipu132,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp136,sipusipu136,Abhisek,Patil,Unit-3,Pune
swastikp137,sipusipu137,Vikash,Mishra,Unit-5,Ranchi
swastikp138,sipusipu138,Rahul,Chopra,Unit-4,Kolkata
swastikp139,sipusipu139,Adil,Kumar,Unit-6,Chennai
swastikp140,sipusipu140,Chris,Moody,Unit-9,Hyderabad
swastikp141,sipusipu141,Mamoon,Shaik,Unit-10,Mumbai
swastikp142,sipusipu142,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp143,sipusipu143,Shravan,Adhikary,Unit-8,New Delhi
swastikp144,sipusipu144,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp145,sipusipu145,Yaman,Sharma,Unit-2,Patna
swastikp146,sipusipu146,Abhisek,Patil,Unit-3,Pune
swastikp147,sipusipu147,Vikash,Mishra,Unit-5,Ranchi
